epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,4890.59,0.8556,0.64189,1.13374,0.83366,0.75371,0.83409,0.67021,0.84011,0.5986,1.15943,0.0090496,0.0090496,0.0090496
98,4941.47,0.84821,0.63667,1.12912,0.82346,0.75707,0.838,0.67642,0.83978,0.60423,1.15843,0.0090397,0.0090397,0.0090397
99,4990.71,0.84045,0.63331,1.12715,0.83373,0.74959,0.83,0.67263,0.83356,0.60571,1.16023,0.0090298,0.0090298,0.0090298
100,5040.83,0.84512,0.63643,1.12942,0.83405,0.74191,0.83664,0.67856,0.83198,0.60333,1.15789,0.0090199,0.0090199,0.0090199
101,5091.03,0.8513,0.63931,1.13118,0.83732,0.7551,0.83884,0.68065,0.82932,0.59533,1.15711,0.00901,0.00901,0.00901
102,5140.99,0.83972,0.63016,1.12672,0.82951,0.76581,0.84121,0.68249,0.8296,0.59862,1.15326,0.0090001,0.0090001,0.0090001
103,5191.88,0.83607,0.62383,1.11802,0.82929,0.76306,0.84001,0.68295,0.83075,0.5978,1.15492,0.0089902,0.0089902,0.0089902
104,5241.88,0.83338,0.6241,1.12351,0.82685,0.76808,0.84372,0.68424,0.82904,0.59783,1.15756,0.0089803,0.0089803,0.0089803
105,5291.86,0.8384,0.62744,1.12864,0.81695,0.77528,0.83999,0.68002,0.82297,0.59304,1.15322,0.0089704,0.0089704,0.0089704
106,5341.58,0.83712,0.62354,1.12224,0.8274,0.76031,0.84235,0.68678,0.82929,0.59567,1.15279,0.0089605,0.0089605,0.0089605
107,5391.86,0.8373,0.6182,1.11944,0.8321,0.7636,0.84258,0.68504,0.82602,0.59432,1.15127,0.0089506,0.0089506,0.0089506
108,5442.19,0.83646,0.6222,1.12121,0.84358,0.76243,0.84523,0.68714,0.82868,0.59383,1.15175,0.0089407,0.0089407,0.0089407
109,5492.1,0.84126,0.6206,1.12666,0.84635,0.76825,0.84269,0.68327,0.8255,0.5905,1.15073,0.0089308,0.0089308,0.0089308
