epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1663.44,1.21273,0.95301,0.93382,0.74822,0.7177,0.78074,0.51226,1.17667,0.83344,0.95147,0.0085546,0.0085546,0.0085546
75,1685.08,1.20952,0.95641,0.92566,0.74575,0.7318,0.79239,0.52016,1.19053,0.85114,0.95901,0.0085348,0.0085348,0.0085348
76,1706.73,1.19027,0.94331,0.92532,0.80352,0.65883,0.78307,0.5208,1.20034,0.86609,0.96233,0.008515,0.008515,0.008515
77,1728.25,1.15768,0.89708,0.92794,0.7144,0.759,0.79692,0.52473,1.21034,0.84263,0.96235,0.0084952,0.0084952,0.0084952
78,1749.9,1.1531,0.89401,0.91631,0.77763,0.74425,0.81758,0.54172,1.19119,0.78718,0.95154,0.0084754,0.0084754,0.0084754
79,1771.47,1.20701,0.93119,0.92386,0.80746,0.74335,0.81403,0.5341,1.18963,0.77562,0.94835,0.0084556,0.0084556,0.0084556
80,1793.49,1.1614,0.89533,0.91289,0.78435,0.68471,0.79897,0.52928,1.18128,0.8004,0.9621,0.0084358,0.0084358,0.0084358
81,1815.07,1.18493,0.9324,0.92609,0.76949,0.73651,0.80412,0.53732,1.2007,0.82429,0.95528,0.008416,0.008416,0.008416
82,1837.08,1.17177,0.89566,0.92346,0.75303,0.72318,0.78721,0.52091,1.21344,0.84923,0.95954,0.0083962,0.0083962,0.0083962
83,1858.56,1.20134,0.92288,0.92832,0.76573,0.78403,0.81108,0.52638,1.21476,0.82034,0.95885,0.0083764,0.0083764,0.0083764
84,1880.97,1.1407,0.86466,0.90643,0.84866,0.64807,0.78296,0.52374,1.16122,0.8176,0.94855,0.0083566,0.0083566,0.0083566
85,1902.85,1.14939,0.87512,0.92008,0.797,0.73642,0.82934,0.54065,1.2053,0.74102,0.96329,0.0083368,0.0083368,0.0083368
86,1924.1,1.16576,0.88179,0.91852,0.80042,0.77606,0.84677,0.55365,1.17457,0.75217,0.95342,0.008317,0.008317,0.008317
87,1946.48,1.17922,0.91255,0.9181,0.85609,0.72151,0.82333,0.54456,1.13732,0.78182,0.93916,0.0082972,0.0082972,0.0082972
